x,y
1.39451,1.24244,
0.769661,1.61043,
1.17178,0.408108,
0.974406,1.3383,
1.73843,1.25382,
0.446282,1.88103,
1.58119,0.547355,
1.50945,0.653386,
1.57659,1.0484,
1.73549,1.23341,
0.886486,1.17441,
0.522908,0.588165,
1.12123,1.35538,
1.52474,1.00943,
1.47999,1.56914,
0.148237,0.441533,
1.57073,1.53896,
0.275094,2.42373,
0.624709,1.77147,
1.62364,0.543953,
1.33452,0.759969,
0.52868,2.05389,
0.706308,1.36578,
2.28205,0.815681,
1.36198,1.09829,
2.07698,2.56716,
0.493426,1.83407,
0.792789,2.26053,
1.7363,1.69178,
1.5187,1.26286,
1.36767,1.34723,
1.44945,1.0103,
0.489452,0.551938,
0.936399,0.700367,
0.639192,0.546024,
0.827327,3.09671,
1.63312,0.714239,
1.31945,2.54333,
1.39354,1.86774,
1.55802,0.91227,
4.06853,2.64696,
1.34751,1.5423,
2.81544,1.54168,
1.43367,1.45685,
0.96393,1.57876,
1.7918,1.55907,
1.70602,0.895289,
0.628998,2.46771,
0.861779,0.889881,
0.16984,1.24074,
0.100923,1.63598,
1.09181,0.98728,
1.58499,2.88425,
0.774125,0.226332,
0.764055,1.57137,
1.41038,2.22461,
1.32982,0.991693,
1.42296,1.18346,
0.971693,1.90833,
2.11554,0.212248,
0.369515,2.99097,
0.660888,1.97031,
1.15512,0.886894,
2.1084,1.20174,
1.15251,1.03655,
0.165841,0.138247,
0.711192,0.597992,
0.68343,0.842368,
0.406919,1.86289,
0.966062,1.42397,
2.44698,2.31646,
3.11539,1.43667,
1.26678,0.727998,
1.05387,1.38044,
2.62937,0.57702,
0.339408,1.73982,
2.23447,0.892836,
2.51223,1.02315,
2.50922,1.7109,
1.65056,1.12034,
1.04136,2.45137,
0.526686,0.788964,
1.18302,0.282838,
1.66809,0.808794,
0.665353,0.768806,
0.698725,1.42543,
1.2047,1.48941,
0.413676,1.21114,
0.917695,0.992898,
1.0327,0.797562,
1.48078,1.60736,
1.13011,1.6948,
1.98175,0.984459,
1.50002,1.32314,
2.14519,1.33864,
1.53817,1.36885,
1.83497,2.16891,
1.24245,1.48493,
1.53959,0.683173,
1.33478,1.72139,
0.964224,0.429237,
1.35406,4.1067,
2.35317,1.69485,
1.74472,1.25182,
0.684083,1.74446,
1.9473,1.1476,
1.72864,1.22088,
0.60392,0.893914,
0.456204,1.02534,
1.11158,1.5003,
1.78539,1.00852,
1.46493,1.40277,
1.64107,1.62113,
1.0399,3.03112,
0.152125,1.54978,
1.67092,0.0922501,
1.26474,1.96573,
1.22966,0.566522,
1.19247,2.33866,
2.12664,0.863601,
1.49504,1.70351,
1.52622,0.498587,
1.93036,1.28833,
0.113044,1.15077,
1.42841,1.5285,
0.521562,0.930555,
0.808393,0.23067,
0.468244,1.0209,
1.84714,0.285109,
0.591004,0.713555,
0.395618,0.407611,
0.964315,1.27243,
1.71291,0.845614,
1.26843,1.39913,
1.72688,1.5797,
0.582069,1.87051,
1.1881,2.01684,
0.811621,1.03652,
0.716853,0.169412,
0.992066,1.33351,
0.693476,1.84741,
2.74635,1.17405,
1.31335,2.3556,
1.77161,1.01886,
1.41463,0.483505,
0.229708,1.16393,
1.01733,0.321058,
0.767586,1.6146,
1.7688,2.74175,
0.440592,1.43244,
1.45699,1.10183,
1.43347,0.36861,
1.53429,0.0766646,
0.514965,1.11593,
0.753859,1.50528,
0.900195,1.27611,
1.24053,1.37098,
0.67564,0.725478,
0.561013,2.0605,
1.6009,0.150134,
1.29517,0.994275,
1.74107,1.11546,
2.64511,2.18509,
1.81285,1.51211,
1.18205,1.59369,
1.86361,0.986807,
0.7268,0.737599,
0.599809,2.97079,
