x,y
0.75166,1.41001,
0.984132,0.249401,
1.31502,0.491521,
1.54272,2.14092,
1.99527,0.892595,
0.123007,0.912568,
0.416731,1.43462,
0.91934,1.63791,
2.73257,1.45877,
1.53095,1.83825,
1.20247,1.08846,
0.859136,0.653096,
2.22167,1.67365,
2.27253,2.10213,
0.773729,0.65333,
0.998542,1.45505,
1.00731,0.901637,
0.870175,2.50077,
0.642957,2.40075,
0.154869,1.7998,
0.60912,0.784622,
1.72501,0.80429,
1.02408,1.91707,
1.64242,0.790356,
1.68728,2.33581,
1.41526,0.729807,
1.98672,1.16457,
1.69566,0.853282,
0.725046,0.959704,
0.705083,0.483833,
2.34997,2.80224,
1.39075,1.06822,
0.606593,2.45218,
0.996168,2.36256,
0.807532,1.77321,
0.745317,0.28343,
0.273569,1.22308,
1.58533,2.22945,
0.299993,1.08823,
1.09719,0.749728,
0.387392,2.35891,
1.69341,0.344275,
0.765634,0.89182,
1.43986,1.51532,
0.96526,1.55613,
0.869351,0.730959,
0.890378,1.56962,
0.614094,2.10094,
1.45029,1.32191,
1.9242,1.41289,
1.60237,0.887393,
2.47482,1.43711,
1.07825,0.10423,
2.25247,1.93878,
2.11072,0.629877,
1.14886,0.534968,
1.52147,0.991127,
1.10857,0.847037,
1.58816,0.662716,
1.45534,0.545673,
0.972406,0.822056,
0.866872,1.32272,
1.87221,0.889296,
0.625395,0.588408,
1.54256,1.37226,
1.00821,0.513021,
2.83627,1.71847,
1.31586,1.77515,
1.86103,1.11281,
1.34108,1.06199,
2.45695,1.28667,
2.71885,1.68766,
2.82126,0.546688,
0.561325,0.808541,
2.00957,2.31877,
1.11447,1.9017,
1.97251,2.60583,
0.798386,2.33852,
1.77989,0.197963,
0.966438,0.97444,
0.304022,1.55778,
1.28714,1.73163,
0.93291,0.232296,
0.414491,0.346845,
0.780983,1.65056,
2.51442,0.639184,
0.607526,2.37854,
1.13988,1.63589,
0.937194,1.78566,
1.15383,1.1079,
0.982203,1.22026,
1.8742,1.6225,
1.30654,1.83606,
1.53949,0.730788,
2.63078,1.14533,
0.106345,1.97175,
1.8367,0.45836,
1.64748,1.32588,
2.0817,1.52441,
1.19786,2.13223,
0.42013,1.05837,
0.360505,1.57992,
0.264862,1.48714,
0.658665,1.97402,
0.599602,0.784599,
0.984704,1.05509,
1.55895,2.40528,
0.695972,1.8884,
1.21554,0.962222,
2.7126,2.03738,
1.49988,1.7459,
1.58719,1.42686,
0.947705,0.937862,
1.25138,1.1569,
0.792486,2.61599,
1.35368,1.92461,
1.99507,0.874034,
0.62486,0.761522,
0.417364,1.36963,
1.06526,1.27219,
0.330772,0.315287,
0.295158,1.27663,
1.89368,0.8736,
1.04812,0.196802,
1.07289,1.15306,
1.14466,0.850335,
3.20369,0.372722,
3.78954,1.01935,
2.35159,1.24538,
0.961906,1.54626,
1.31206,0.799892,
1.50883,0.482339,
1.04268,0.953377,
1.68941,0.985627,
0.90859,2.96495,
0.584735,0.363942,
0.555078,1.04182,
2.16537,3.0304,
1.40561,1.47182,
0.872406,1.51491,
0.227235,2.33238,
0.533565,0.478949,
0.153817,0.14291,
2.20354,0.677332,
2.25827,1.21792,
1.29844,1.45361,
1.48618,2.15493,
0.290145,1.27939,
2.56005,1.68182,
0.0999962,1.6451,
2.46187,0.454372,
0.49332,1.30673,
0.807642,1.52155,
0.851896,1.72647,
0.918409,1.22092,
1.28632,1.05344,
1.32456,0.759294,
2.10065,0.849785,
0.487867,1.60792,
1.34032,1.3301,
1.49709,0.942869,
1.0517,3.38617,
1.94124,1.26447,
0.782978,1.9608,
1.32247,1.86938,
1.88726,1.56026,
0.839692,0.65912,
1.27287,0.836502,
1.32144,1.19691,
2.03724,2.42387,
1.57523,1.44475,
2.17255,0.78763,
0.79884,1.24333,
0.736471,0.672368,
0.605551,1.42155,
1.12924,1.04727,
1.36501,1.22534,
1.22666,2.09137,
1.22219,1.39403,
1.97218,0.228532,
1.56831,2.36611,
1.54296,0.360375,
0.999183,0.79412,
1.44059,3.35978,
1.29998,2.41822,
1.87508,0.791018,
0.497933,0.704952,
1.42922,0.799498,
1.00076,1.04231,
1.02374,0.913789,
1.07109,0.360047,
2.14984,1.17306,
1.95667,1.53293,
0.783947,1.71299,
1.3289,1.63495,
1.04889,0.723601,
1.60738,1.13052,
1.56595,1.85965,
1.01643,0.465364,
2.47396,1.39112,
0.865727,1.15966,
0.740031,0.990896,
1.60559,1.89408,
0.551995,1.65923,
0.864375,1.67305,
1.82839,0.242361,
1.14335,0.383856,
1.32752,0.982876,
1.38335,0.361677,
2.61366,1.13425,
2.35637,0.812032,
1.53658,0.311576,
0.998869,1.1213,
1.18896,0.868549,
0.953913,1.45479,
1.5104,0.43027,
2.98034,0.567486,
1.3866,1.3355,
0.502064,0.125888,
0.720692,1.41138,
0.740176,1.17228,
2.86862,0.765843,
1.27891,2.01464,
2.09941,1.27018,
2.1342,1.16103,
0.567712,1.54816,
2.33603,0.581948,
2.07198,0.377252,
2.18352,1.51788,
1.53439,0.270659,
0.950442,0.808822,
